"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"SF_SKU";"VALUE";
"24";"";"CAPACITOR0603";"C0603";"3C1, 3C2, 3C3, 3C4, 3C5, 3C6, 3C7, 3C8, 3C9, 3C10, 3C11, 3C12, 3C13, 3C14, 3C15, 3C16, 3C17, 3C18, 3C19, 3C20, 3C21, 3C22, 3C23, 3C24";"";"";"";"";
"1";"";"CONN_02LOCK";"1X02_LOCK";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"1";"";"CONN_03LOCK";"1X03_LOCK";"SERVO_IO";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"2";"";"SWITCH-SPDT-PTH-11.6X4.0MM-LOCK";"SWITCH_SPDT_PTH_11.6X4.0MM_LOCK";"3V3_PWR, 5V_PWR";"Single Pole, Double Throw (SPDT) Switch";"SWCH-08261";"COM-00102 ";"";
"6";"10k";"RESISTOR0603";"R0603";"R1, R4, R6, R7, R8, R9";"";"";"";"";
"2";"1k";"RESISTOR0603";"R0603";"R2, R3";"";"";"";"";
"4";"1uF";"CAPACITOR0603";"C0603";"C1, C2, C3, C5";"";"";"";"";
"2";"22pF";"CAPACITOR0603";"C0603";"C6, C7";"";"";"";"";
"2";"4.7k";"RESISTOR0603";"R0603";"R12, R13";"";"";"";"";
"1";"470";"RESISTOR0603";"R0603";"R5";"";"";"";"";
"1";"8MHz";"CRYSTALSMD-5X3.2-2PAD";"CRYSTAL-SMD-5X3.2-2PAD";"Y1";"Crystals (Generic)";"";"";"";
"1";"AO3402";"MOSFET-NCH-AO3404A";"SOT23-3";"Q2";"N-channel MOSFETs";"TRANS-12988";"";"5.8A/30V/35mΩ";
"1";"BLUE";"LED0603";"LED-0603";"D1";"LED (Generic)";"";"";"";
"1";"CONN_07X2";"CONN_07X2";"2X7";"U$14";"";"";"";"";
"1";"DIP-04SMD";"DIP-04SMD";"DIPSWITCH-04-SMD";"S1";"4-Position DIP Switch";"";"";"";
"1";"HC-05";"HC-05";"HC-05";"BLUETOOTH";"";"";"";"";
"2";"MOMENTARY_SWITCH_4X3";"MOMENTARY_SWITCH_4X3";"MOMENTARY_SWITCH_4X3";"BOOT, RST";"";"";"";"";
"1";"OPENMV3";"OPENMV3";"OPENMV3";"U$8";"";"";"";"";
"1";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"4TH_LAYER";"JST SH series header 1.00mm pitch disconnectable crimp style connectors, horizontal (side entry type), 4 pins";"";"";"";
"1";"SM06B-SRSS-TB";"SM06B-SRSS-TB";"SM06B-SRSS-TB";"X1";"JST SH series header 1.00mm pitch disconnectable crimp style connectors, horizontal (side entry type), 6 pins";"";"";"";
"1";"STM32F103CBT6";"STM32F103CBT6";"LQFP48";"STM32_IR";"";"";"";"";
"1";"TEENSY_3.5/3.6_NO_MIDDLE";"TEENSY_3.5/3.6_NO_MIDDLE";"TEENSY_3.5/3.6_NO_MIDDLE";"U$1";"";"";"";"";
"24";"TSSP58038";"TSSP58038";"TSSP58038";"3U1, 3U2, 3U3, 3U4, 3U5, 3U6, 3U7, 3U8, 3U9, 3U10, 3U11, 3U12, 3U13, 3U14, 3U15, 3U16, 3U17, 3U18, 3U19, 3U20, 3U21, 3U22, 3U23, 3U24";"";"";"";"";
