"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"SF_SKU";
"16";"";"LED0603";"LED-0603";"1D1, 1D2, 1D3, 1D4, 1D5, 1D6, 1D7, 1D8, 1D9, 1D10, 1D11, 1D12, 1D13, 1D14, 1D15, 1D16";"LED (Generic)";"";"";
"1";"";"SWITCH-SPDT-PTH-11.6X4.0MM-LOCK";"SWITCH_SPDT_PTH_11.6X4.0MM_LOCK";"3V3_PWR";"Single Pole, Double Throw (SPDT) Switch";"SWCH-08261";"COM-00102 ";
"2";"10k";"RESISTOR0603";"R0603";"R1, R4";"";"";"";
"3";"1k";"RESISTOR0603";"R0603";"R2, R3, R5";"";"";"";
"4";"1uF";"CAPACITOR0603";"C0603";"C1, C2, C3, C5";"";"";"";
"2";"22pF";"CAPACITOR0603";"C0603";"C6, C7";"";"";"";
"8";"470";"RESISTOR0603";"R0603";"1R1, 1R2, 1R3, 1R4, 1R5, 1R6, 1R7, 1R8";"";"";"";
"1";"8MHz";"CRYSTALSMD-5X3.2-2PAD";"CRYSTAL-SMD-5X3.2-2PAD";"Y1";"Crystals (Generic)";"";"";
"1";"BLUE";"LED0603";"LED-0603";"D1";"LED (Generic)";"";"";
"1";"BNO055";"BNO055";"BNO055";"COMPASS";"";"";"";
"3";"MOMENTARY_SWITCH_4X3";"MOMENTARY_SWITCH_4X3";"MOMENTARY_SWITCH_4X3";"BOOT, COMPASS_RST, RST";"";"";"";
"1";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"3RD_LAYER";"JST SH series header 1.00mm pitch disconnectable crimp style connectors, horizontal (side entry type), 4 pins";"";"";
"1";"SM06B-SRSS-TB";"SM06B-SRSS-TB";"SM06B-SRSS-TB";"PROGRAMMER";"JST SH series header 1.00mm pitch disconnectable crimp style connectors, horizontal (side entry type), 6 pins";"";"";
"1";"STM32F103CBT6";"STM32F103CBT6";"LQFP48";"STM32";"";"";"";
